number,userid,vehicleid,stationid,reservationno,logtime,longitude,latitude,speed,heading,charge,fuel,hdop,km,stationid2,station_dt,gpsenginelockstate,gpsdoorlockstate,doorlockstate,enginestate,frontdoorstate,reardoorstate
1,2241,77,7,6609,01-01-18 0:02,99.52136067,14.03184528,0,0,12.28,-1,0,3615.076821,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
2,2241,77,7,6609,01-01-18 0:04,99.52128408,14.0318284,0,0,12.36,-1,0.7,3615.085293,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
3,2241,77,7,6609,01-01-18 0:08,99.52128483,14.03187207,0,0,12.36,-1,0.8,3615.090149,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
4,2241,77,7,6609,01-01-18 0:11,99.5212904,14.03186595,0,0,12.36,-1,0.7,3615.091057,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
5,2241,77,7,6609,01-01-18 0:18,99.52130748,14.03186123,0,285.3,12.36,-1,0.8,3615.092973,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
6,2241,77,7,6609,01-01-18 0:21,99.52128887,14.0318483,0,NaN,12.36,-1,0.7,3615.095443,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
7,2241,77,7,6609,01-01-18 0:24,99.52130792,14.03188185,0,163.7,12.32,-1,0.8,3615.099702,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
8,2241,77,7,6609,01-01-18 0:27,99.52134232,14.03184475,0,120.5,12.36,-1,0.8,3615.105251,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
9,2241,77,7,6609,01-01-18 0:29,99.52132477,14.03184087,0,29,12.32,-1,0.8,3615.107193,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
10,2241,77,7,6609,01-01-18 0:32,99.52133237,14.03185917,0,29,12.39,-1,0.7,3615.109386,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
11,2241,77,7,6609,01-01-18 0:35,99.52132622,14.03187153,0,29,12.36,-1,0.8,3615.110913,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
12,2241,77,7,6609,01-01-18 0:38,99.5213257,14.03187008,0,NaN,12.39,-1,0.9,3615.111084,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
13,2241,77,7,6609,01-01-18 0:41,99.5213107,14.03188173,0,244.8,12.39,-1,0.9,3615.113157,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
14,2241,77,7,6609,01-01-18 0:44,99.52131747,14.03188768,0,244.8,12.43,-1,0.9,3615.114142,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
15,2241,77,7,6609,01-01-18 0:47,99.52132578,14.03185693,0,244.8,12.39,-1,0.8,3615.117677,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
16,2241,77,7,6609,01-01-18 0:48,99.5213343,14.03187822,0,334.8,12.25,-1,1,3615.120216,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
17,2241,77,7,6609,01-01-18 0:51,99.52132065,14.03184598,0,334.8,12.36,-1,0.9,3615.12409,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
18,2241,77,7,6609,01-01-18 0:54,99.52134113,14.03187812,0,273.9,12.36,-1,0.9,3615.128292,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
19,2241,77,7,6609,01-01-18 0:57,99.5213422,14.03191477,0,273.9,12.36,-1,0.9,3615.132368,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
20,2241,77,7,6609,01-01-18 1:00,99.52132882,14.03184513,0,273.9,12.36,-1,0.9,3615.140245,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
21,2241,77,7,6609,01-01-18 1:03,99.52133558,14.03184957,0,273.9,12.36,-1,0.9,3615.141126,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
22,2241,77,7,6609,01-01-18 1:06,99.5213334,14.03185203,0,273.9,12.36,-1,0.9,3615.141487,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
23,2241,77,7,6609,01-01-18 1:09,99.52133185,14.0318701,0,273.9,12.39,-1,1,3615.143503,0,30-12-17 7:16,UNLOCK,UNLOCK,LOCK,STOP,CLOSE,CLOSE
